vehicle,pos,anti
ant,small,large
goose,loud,quiet
bat,scary,unalarming
horse,fast,slow
bear,scary,unalarming
kangaroo,jumpy,relaxed
bee,busy,idle
lion,ferocious,nonviolent
bird,free,unfree
monkey,funny,humorless
buffalo,big,small
owl,wise,foolish
cat,independent,dependent
ox,strong,weak
cow,fat,thin
penguin,cold,hot
dog,loyal,disloyal
pig,dirty,clean
dolphin,smart,stupid
rabbit,duck,quacking
non-quacking,shark,smart
stupid,light,scaly
smooth,dry,fox
pretty,artless,whale
cute,slow,scary
unalarming,safe,fluffy
hard,smart,scary
unalarming,large,small
frog,slimy,nonslippery
wolf,scary,unalarming
goat,funny,humorless
zebra,striped,unpatterned
ant,strong,weak
goose,mean,nice
bat,blind,sighted
horse,strong,weak
bear,big,small
kangaroo,bouncy,inelastic
bee,small,large
lion,scary,unalarming
bird,graceful,awkward
monkey,smart,stupid
buffalo,strong,weak
owl,quiet,loud
cat,lazy,fast
ox,big,small
cow,dumb,smart
penguin,cute,unattractive
dog,friendly,unfriendly
pig,fat,thin
dolphin,friendly,unfriendly
rabbit,loud,quiet
non-quacking,elephant,heavy
stupid,sheep,wet
smooth,fragrant,sly
pretty,stupid,fast
cute,hairless,dangerous
unalarming,nice,dumb
hard,striped,unpatterned
unalarming,graceful,awkward
frog,noisy,quiet
wolf,mean,nice
goat,hungry,full
zebra,exotic,native
ant,busy,idle
goose,annoying,agreeable
bat,nocturnal,diurnal
horse,beautiful,ugly
bear,fierce,nonviolent
kangaroo,cute,unattractive
bee,angry,unangry
lion,strong,weak
bird,small,large
monkey,playful,unplayful
buffalo,wild,tame
owl,nocturnal,diurnal
cat,soft,hard
ox,slow,fast
cow,lazy,fast
penguin,funny,humorless
dog,happy,unhappy
pig,smelly,fragrant
dolphin,playful,unplayful
rabbit,cute,unattractive
non-quacking,huge,small
stupid,fish,smelly
smooth,tiger,smart
pretty,ugly,furry
cute,unattractive,mean
unalarming,wooly,hairless
hard,fierce,nonviolent
unalarming,majestic,inferior
frog,jumpy,relaxed
wolf,angry,unangry
goat,loud,quiet
zebra,fast,slow
